Flow_IAT_Mean
[2909, 'infinite'];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[952, 2908];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
[930, 951];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
[551, 929];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
[497, 550];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
[391, 496];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
[367, 390];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
[317, 366];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
[309, 316];0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
[260, 308];0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
[259, 259];0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
[256, 258];0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1
[252, 255];0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
[242, 251];0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
[236, 241];0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[230, 235];0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[221, 229];0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[10, 220];0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[6, 9];0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[4, 5];0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[3, 3];0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[2, 2];0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[0, 1];1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1

Fwd_Packet_Length_Mean
[1203, 'infinite'];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
[244, 1202];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
[243, 243];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
[238, 242];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
[131, 237];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
[130, 130];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
[128, 129];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
[122, 127];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
[108, 121];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
[102, 107];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1
[100, 101];0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
[86, 99];0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1
[85, 85];0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1
[78, 84];0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
[72, 77];0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[71, 71];0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[62, 70];0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[61, 61];0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[58, 60];0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[50, 57];0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[39, 49];0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[29, 38];0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[11, 28];0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[4, 10];0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[3, 3];0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
[0, 2];1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1

